Classes_Dep_Var,Num_Ind_Vars,Sample_Size,ANN,DT,LR,RF
2,3,100,0.0999999999999999,0.2333333333333332,0.1333333333333333,0.1666666666666666
2,3,500,0.18,0.3133333333333333,0.18,0.2466666666666667
2,3,1000,0.2099999999999999,0.2733333333333333,0.2199999999999999,0.2533333333333333
2,3,10000,0.2213333333333333,0.2393333333333333,0.2216666666666666,0.2486666666666667
2,5,100,0.2666666666666667,0.2333333333333332,0.2333333333333332,0.2666666666666667
2,5,500,0.2533333333333333,0.3333333333333333,0.2666666666666667,0.28
2,5,1000,0.2066666666666666,0.2733333333333333,0.1933333333333333,0.25
2,5,10000,0.2083333333333333,0.2533333333333333,0.2103333333333333,0.2453333333333333
2,7,100,0.1999999999999999,0.2666666666666667,0.2666666666666667,0.2333333333333332
2,7,500,0.1866666666666666,0.2933333333333333,0.1999999999999999,0.2666666666666667
2,7,1000,0.1833333333333333,0.2533333333333333,0.2033333333333333,0.1933333333333333
2,7,10000,0.2073333333333333,0.2543333333333333,0.2089999999999999,0.2466666666666667
3,3,100,0.3333333333333333,0.3666666666666667,0.3,0.4333333333333333
3,3,500,0.3466666666666667,0.4066666666666666,0.3399999999999999,0.4266666666666666
3,3,1000,0.3199999999999999,0.4066666666666666,0.3266666666666666,0.4499999999999999
3,3,10000,0.3236666666666666,0.371,0.3276666666666666,0.4386666666666666
3,5,100,0.4333333333333333,0.5,0.5666666666666667,0.4333333333333333
3,5,500,0.3666666666666667,0.42,0.3399999999999999,0.4399999999999999
3,5,1000,0.3133333333333333,0.41,0.3133333333333333,0.4233333333333333
3,5,10000,0.3266666666666666,0.3866666666666667,0.3193333333333333,0.4043333333333333
3,7,100,0.4,0.5666666666666667,0.4666666666666667,0.5
3,7,500,0.3066666666666666,0.4466666666666666,0.3066666666666666,0.4
3,7,1000,0.3299999999999999,0.4266666666666666,0.3133333333333333,0.4633333333333334
3,7,10000,0.3249999999999999,0.4003333333333333,0.3279999999999999,0.4373333333333333
4,3,100,0.4,0.4333333333333333,0.4666666666666667,0.6
4,3,500,0.4933333333333333,0.5800000000000001,0.4466666666666666,0.6066666666666667
4,3,1000,0.4666666666666667,0.54,0.5433333333333333,0.5900000000000001
4,3,10000,0.4883333333333333,0.5286666666666666,0.498,0.5643333333333334
4,5,100,0.5,0.6666666666666667,0.6,0.6
4,5,500,0.4733333333333334,0.5666666666666667,0.4866666666666667,0.5533333333333333
4,5,1000,0.4599999999999999,0.54,0.4866666666666667,0.52
4,5,10000,0.4693333333333334,0.5363333333333333,0.491,0.5389999999999999
4,7,100,0.5,0.5,0.5,0.6333333333333333
4,7,500,0.4866666666666667,0.4933333333333333,0.5533333333333333,0.6
4,7,1000,0.4466666666666666,0.5566666666666666,0.4766666666666667,0.5433333333333333
4,7,10000,0.4723333333333334,0.5609999999999999,0.4693333333333334,0.558
