CL_Y,CA,CL_X,S,ANN,DT,LR
2.0000,1.0000,2.0000,100.0000,0.4000,0.4000,0.4333
2.0000,1.0000,2.0000,500.0000,0.2667,0.2200,0.2600
2.0000,1.0000,2.0000,"1,000.0000",0.3767,0.3533,0.3567
2.0000,1.0000,2.0000,"10,000.0000",0.3423,0.3770,0.3310
2.0000,1.0000,3.0000,100.0000,0.4000,0.4667,0.4333
2.0000,1.0000,3.0000,500.0000,0.2733,0.2467,0.2600
2.0000,1.0000,3.0000,"1,000.0000",0.3500,0.3767,0.3733
2.0000,1.0000,3.0000,"10,000.0000",0.3333,0.3383,0.3303
2.0000,2.0000,2.0000,100.0000,0.4000,0.5000,0.4000
2.0000,2.0000,2.0000,500.0000,0.3400,0.2867,0.3267
2.0000,2.0000,2.0000,"1,000.0000",0.3567,0.3767,0.3767
2.0000,2.0000,2.0000,"10,000.0000",0.3543,0.3937,0.3553
2.0000,2.0000,3.0000,100.0000,0.3663,0.4667,0.4000
2.0000,2.0000,3.0000,500.0000,0.2000,0.2533,0.2200
2.0000,2.0000,3.0000,"1,000.0000",0.3600,0.3333,0.3500
2.0000,2.0000,3.0000,"10,000.0000",0.3443,0.3436,0.3443
3.0000,1.0000,2.0000,100.0000,0.5000,0.7000,0.5000
3.0000,1.0000,2.0000,500.0000,0.4200,0.4000,0.4667
3.0000,1.0000,2.0000,"1,000.0000",0.4400,0.4300,0.4400
3.0000,1.0000,2.0000,"10,000.0000",0.4503,0.4513,0.4487
3.0000,1.0000,3.0000,100.0000,0.5000,0.4333,0.4667
3.0000,1.0000,3.0000,500.0000,0.5333,0.5333,0.4800
3.0000,1.0000,3.0000,"1,000.0000",0.4067,0.4900,0.4367
3.0000,1.0000,3.0000,"10,000.0000",0.4467,0.4537,0.4500
3.0000,2.0000,2.0000,100.0000,0.5333,0.7000,0.4667
3.0000,2.0000,2.0000,500.0000,0.4400,0.4267,0.4800
3.0000,2.0000,2.0000,"1,000.0000",0.4500,0.4367,0.4400
3.0000,2.0000,2.0000,"10,000.0000",0.4573,0.5023,0.4590
3.0000,2.0000,3.0000,100.0000,0.5667,0.4000,0.5000
3.0000,2.0000,3.0000,500.0000,0.4600,0.5333,0.4333
3.0000,2.0000,3.0000,"1,000.0000",0.4200,0.4933,0.4467
3.0000,2.0000,3.0000,"10,000.0000",0.4553,0.4607,0.4603
4.0000,1.0000,2.0000,100.0000,0.6667,0.8000,0.6000
4.0000,1.0000,2.0000,500.0000,0.5467,0.5333,0.6200
4.0000,1.0000,2.0000,"1,000.0000",0.5633,0.5800,0.5933
4.0000,1.0000,2.0000,"10,000.0000",0.6137,0.6317,0.6133
4.0000,1.0000,3.0000,100.0000,0.7000,0.7333,0.6667
4.0000,1.0000,3.0000,500.0000,0.5400,0.6000,0.5667
4.0000,1.0000,3.0000,"1,000.0000",0.5833,0.5733,0.5900
4.0000,1.0000,3.0000,"10,000.0000",0.6117,0.6277,0.6147
4.0000,2.0000,2.0000,100.0000,0.7333,0.8000,0.6333
4.0000,2.0000,2.0000,500.0000,0.6200,0.6000,0.6400
4.0000,2.0000,2.0000,"1,000.0000",0.5967,0.5900,0.6133
4.0000,2.0000,2.0000,"10,000.0000",0.6247,0.6360,0.6260
4.0000,2.0000,3.0000,100.0000,0.7333,0.7333,0.6667
4.0000,2.0000,3.0000,500.0000,0.5333,0.5800,0.5800
4.0000,2.0000,3.0000,"1,000.0000",0.5667,0.5700,0.5800
4.0000,2.0000,3.0000,"10,000.0000",0.6176,0.6183,0.6223
