X1,X2,X3,y_cont,y_cat
0.9743970446775198,1.0,1.0,8.195750764476866,D
0.4753623720005907,1.0,0.0,4.806910512423643,C
0.7215980832936298,0.0,1.0,4.837812046415987,C
0.07525229393419985,0.0,0.0,2.6693274524973414,A
0.5526635804421165,1.0,1.0,6.824986790790556,D
0.011574569838687987,1.0,0.0,3.766502682444336,B
0.9496332633448595,0.0,1.0,5.02063209541374,C
0.9230100315774895,0.0,0.0,3.365969690787086,B
0.35139626118552725,0.0,1.0,5.0684278973641055,C
0.30241459603628507,1.0,1.0,5.838818601847441,C
0.7528233032739321,0.0,1.0,5.813608756166182,C
0.34165801947017804,1.0,0.0,5.865999817113785,C
0.011599220010161337,1.0,1.0,5.453132525121303,C
0.5808451806496968,1.0,0.0,4.8466007832537725,C
0.6350417558881181,1.0,1.0,7.574333259512885,D
0.21559346562095982,1.0,0.0,5.032501358133956,C
0.5107535090572396,1.0,0.0,4.22015136070691,B
0.8811275596817123,1.0,1.0,6.498565564529817,D
0.45984968545477833,1.0,1.0,3.930642661800892,B
0.29943303070986715,1.0,0.0,3.241119109379162,B
0.9297700283180007,1.0,1.0,8.942126392852222,D
0.6099153853293362,1.0,1.0,5.48383827291737,C
0.39567961952779307,1.0,0.0,2.8011029536243734,A
0.34520795443680363,0.0,1.0,3.6147833025507863,B
0.4860232903644358,0.0,0.0,2.078634955081505,A
0.6747041902401874,0.0,0.0,1.9898682212821928,A
0.5237998899147949,1.0,1.0,6.829059925655333,D
0.14134157180315166,1.0,0.0,3.7408242311913007,B
0.7729755289675058,0.0,1.0,5.180716738678931,C
0.7162461679646305,1.0,1.0,6.9813614640715835,D
0.9201309963824352,0.0,0.0,3.7508922461225715,B
0.03202510158276617,0.0,1.0,2.4173885926497967,A
0.7353513642555682,0.0,1.0,5.509193502600175,C
0.5984907315978707,0.0,1.0,3.971939256042151,B
0.7195214520424363,0.0,0.0,3.3610410703325657,B
0.6335559099686102,1.0,0.0,4.61000331004992,C
0.14016115115521244,0.0,0.0,1.3076494870548085,A
0.7781765742862022,0.0,1.0,6.924469747603332,D
0.36455337579008573,0.0,1.0,3.9904399744151413,B
0.6984123217895764,0.0,0.0,2.9593800492572795,A
0.6517251057940439,1.0,1.0,7.077755066967489,D
0.3669760603938603,0.0,1.0,2.9160291863340757,A
0.9006579007843869,0.0,1.0,6.346135104551135,D
0.9718639272682147,0.0,0.0,5.651796205061696,C
0.062189638190847996,0.0,0.0,1.4199607251477617,A
0.7293447610350757,0.0,1.0,6.6444372915686465,D
0.2033480683374791,1.0,0.0,3.252912282165571,B
0.6608803308861179,0.0,1.0,6.107119868886399,D
0.7067481530648159,0.0,1.0,5.074134446027622,C
0.6591890492517497,1.0,1.0,6.369618776884907,D
0.2948048927769411,0.0,0.0,0.9425419139564903,A
0.07537134769940101,1.0,0.0,3.527491895172459,B
0.5925513184055581,1.0,1.0,7.236114441998424,D
0.8386035725330463,1.0,1.0,8.656400704222312,D
0.27265402436474695,0.0,1.0,4.359618381761323,B
0.5745618748844712,1.0,0.0,6.30669248035152,D
0.7541722609972358,0.0,1.0,5.3489080946013425,C
0.5480249659324679,0.0,0.0,1.7972262058749207,A
0.8714274265871983,0.0,1.0,7.872731446765978,D
0.964405652507074,1.0,0.0,7.248378803644749,D
0.3214595032410371,1.0,0.0,3.1462486221468478,A
0.7310530042684089,0.0,1.0,5.442593685762444,C
0.3331135127389827,1.0,1.0,5.0573652266300595,C
