X1,X2,X3,X4,X5,X6,X7,y_cont,y_cat
0.30260282422715024,0.6644275688839155,0.35922283349268547,0.819711386145178,0.791570561770875,2.0,1.0,6.1863156626515154,B
0.6505495655487376,0.754618736334464,0.23590073574937465,0.3359578333160146,0.41854905303651224,1.0,1.0,7.5679755613992326,C
0.48014928727219075,0.8535079245977729,0.24487273815974508,0.997350299408596,0.8112359178941019,1.0,1.0,9.547528024933236,D
0.7802712113378442,0.09117278000716156,0.4730853896180678,0.8902863004441688,0.941233721806238,0.0,1.0,7.801532844926354,D
0.8016864029463528,0.8412880171498061,0.5221243858862287,0.3166596022501912,0.9121333020128487,2.0,1.0,7.499623677244212,C
0.6172483265956585,0.5744595980449743,0.9571859041959518,0.36088363703659954,0.35416338562706484,2.0,0.0,7.506235907101916,C
0.1330809412399664,0.6573586483287494,0.7753263430791919,0.9771252749667001,0.7749885547633523,1.0,0.0,5.7541920237657305,B
0.7163900220727434,0.8176935160693548,0.2082134525949768,0.2307480417354385,0.04012489929220464,2.0,2.0,6.67379933983292,C
0.8623924915495041,0.7888319026401535,0.5024288035635757,0.8372549533297594,0.993685752855543,1.0,1.0,9.903725073259386,D
0.2750594060447741,0.21283463656938806,0.4779488682940538,0.8145885532347154,0.4270104291939424,1.0,1.0,5.890262121913167,B
0.05571097936420433,0.40398169492211755,0.5475027021008431,0.06525792197358427,0.3004611444744967,2.0,0.0,4.35750736069743,A
0.1733916894754982,0.9636897701751472,0.2542321206936349,0.5479340202316518,0.36045105014635725,1.0,0.0,4.201539916706661,A
0.2695949467587697,0.7431564527887089,0.44897939559674704,0.009040638713440297,0.42983306999137405,2.0,1.0,6.065077261019464,B
0.6074205248236899,0.5951416018240605,0.4127029888661864,0.9547663818987647,0.2987300911490979,1.0,2.0,7.200116079814883,C
0.8504915270053456,0.13900950937097656,0.1513928950964022,0.47409619555687854,0.38803554294099596,1.0,1.0,8.240809638388882,D
0.7636037964135176,0.23236099185431613,0.7376219730980018,0.9399562345766734,0.6937067227889789,1.0,2.0,8.29969721838205,D
